City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
244,Narsaq,60.92,-46.05,50.0,66,0,5.82,GL,2020-06-23 03:03:05
245,Ulaanbaatar,47.91,106.88,68.0,37,20,4.47,MN,2020-06-23 03:05:06
246,San Cristobal,7.77,-72.22,66.65,84,100,4.45,VE,2020-06-23 03:02:01
247,Bubaque,11.28,-15.83,81.61,83,29,11.56,GW,2020-06-23 03:05:07
248,Inhambane,-23.86,35.38,66.7,84,62,8.21,MZ,2020-06-23 03:05:07
249,Baykit,61.67,96.37,84.67,36,13,0.74,RU,2020-06-23 03:04:45
250,Hervey Bay,-25.3,152.85,69.01,43,0,8.99,AU,2020-06-23 03:05:07
251,Muli,2.92,73.57,83.59,77,97,12.88,MV,2020-06-23 03:05:07
252,Wiang Sa,8.64,99.37,84.99,85,100,3.71,TH,2020-06-23 03:05:08
253,Zyryanskoye,56.83,86.63,67.8,64,92,4.29,RU,2020-06-23 03:05:08
254,Yulara,-25.24,130.99,60.8,38,0,8.05,AU,2020-06-23 03:05:08
255,Pacific Grove,36.62,-121.92,61.0,82,90,6.93,US,2020-06-23 03:02:20
256,Sungaipenuh,-2.08,101.38,66.51,97,100,0.63,ID,2020-06-23 03:05:09
257,Piracuruca,-3.93,-41.71,73.2,78,20,1.43,BR,2020-06-23 03:05:09
258,Fairbanks,64.84,-147.72,52.0,93,90,9.17,US,2020-06-23 03:04:20
259,Stokmarknes,68.56,14.91,59.0,92,74,11.99,NO,2020-06-23 03:04:02
260,Manbij,36.53,37.95,57.2,82,0,1.12,SY,2020-06-23 03:05:09
261,Tandur,17.23,77.58,78.78,73,97,13.18,IN,2020-06-23 03:05:10
262,Prado,-17.34,-39.22,70.2,83,0,4.23,BR,2020-06-23 03:05:10
263,Palmer,42.16,-72.33,75.2,73,40,6.93,US,2020-06-23 03:05:11
264,Priladozhskiy,59.85,31.48,57.2,67,0,3.0,RU,2020-06-23 03:05:11
265,Eydhafushi,5.1,73.07,83.3,78,100,12.01,MV,2020-06-23 03:05:11
266,Dunedin,-45.87,170.5,50.0,69,0,3.18,NZ,2020-06-23 03:05:11
267,Cururupu,-1.83,-44.87,73.87,92,17,1.16,BR,2020-06-23 03:05:11
268,Ixtapa,20.7,-105.2,86.0,70,75,6.93,MX,2020-06-23 03:00:58
269,Jiamusi,46.83,130.35,52.54,95,100,13.89,CN,2020-06-23 03:05:12
270,Constantine,36.37,6.61,55.4,87,0,1.16,DZ,2020-06-23 03:05:12
271,Caravelas,-17.71,-39.25,68.85,84,0,3.13,BR,2020-06-23 03:05:12
272,Sena Madureira,-9.07,-68.66,73.8,78,54,1.61,BR,2020-06-23 03:00:52
